2024-12-25 12:34:16,981 - ERROR - Starting the PLC data reader script.
2024-12-25 12:34:19,221 - ERROR - Generic message '_read_template(instance_id=2773, object_definition_size=815)' failed: Insufficient Packet Space
2024-12-25 12:34:19,250 - ERROR - Generic message '_read_template(instance_id=2773, object_definition_size=815)' failed: Insufficient Packet Space
2024-12-25 12:34:19,314 - ERROR - Generic message '_read_template(instance_id=1572, object_definition_size=290)' failed: Insufficient Packet Space
2024-12-25 12:34:19,333 - ERROR - Generic message '_read_template(instance_id=1572, object_definition_size=290)' failed: Insufficient Packet Space
2024-12-25 12:34:19,355 - ERROR - Generic message 'forward_open' failed: Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,355 - ERROR - forward_open failed - Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,412 - ERROR - Generic message '_read_template(instance_id=2152, object_definition_size=458)' failed: Insufficient Packet Space
2024-12-25 12:34:19,418 - ERROR - Generic message 'forward_open' failed: Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,418 - ERROR - forward_open failed - Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,419 - ERROR - Generic message 'forward_open' failed: Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,419 - ERROR - Generic message '_read_template(instance_id=2152, object_definition_size=458)' failed: Insufficient Packet Space
2024-12-25 12:34:19,420 - ERROR - forward_open failed - Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,427 - ERROR - Generic message '_read_template(instance_id=2152, object_definition_size=458)' failed: Insufficient Packet Space
2024-12-25 12:34:19,433 - ERROR - Generic message 'forward_open' failed: Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,433 - ERROR - forward_open failed - Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,433 - ERROR - Generic message 'forward_open' failed: Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,433 - ERROR - forward_open failed - Connection failure (see extended status) - No buffer memory  (01, 301)
2024-12-25 12:34:19,457 - ERROR - Generic message '_read_template(instance_id=2103, object_definition_size=315)' failed: Insufficient Packet Space
